,Date,Pf_Value
0,1/16/2007,9997151.657
0,1/31/2007,9996508.324
0,2/14/2007,9999324.125
0,2/28/2007,10003666.19
0,3/14/2007,10010845.01
0,3/28/2007,10018589.31
0,4/11/2007,10026207.8
0,4/25/2007,10035652.35
0,5/9/2007,10044526.95
0,5/23/2007,10055062.06
0,6/6/2007,10066044.48
0,6/20/2007,10076574.57
0,7/4/2007,10089163.49
0,7/18/2007,10105228.31
0,8/1/2007,10120666.81
0,8/16/2007,10136121.55
0,8/30/2007,10152473.04
0,9/13/2007,10172863.76
0,9/27/2007,10191058.84
0,10/11/2007,10217482.67
0,10/25/2007,10246726.53
0,11/8/2007,10284497.86
0,11/22/2007,10322036.59
0,12/6/2007,10365284.53
0,12/20/2007,10404871
0,1/3/2008,10447561.95
0,1/17/2008,10490773.29
0,1/31/2008,10532621.78
0,2/14/2008,10574198.92
0,2/28/2008,10612741.64
0,3/13/2008,10647630.76
0,3/27/2008,10685915.55
0,4/10/2008,10723531.86
0,4/24/2008,10764425.6
0,5/8/2008,10804487.58
0,5/22/2008,10845480.78
0,6/5/2008,10885654.93
0,6/19/2008,10926046.49
0,7/3/2008,10971929.14
0,7/17/2008,11018213.73
0,7/31/2008,11070558.26
0,8/14/2008,11120450.75
0,8/28/2008,11169943.57
0,9/11/2008,11216063.81
0,9/25/2008,11256782.47
0,10/10/2008,11290965.5
0,10/24/2008,11332302.34
0,11/7/2008,11379440.14
0,11/21/2008,11423700.73
0,12/5/2008,11469175.97
0,12/19/2008,11513985.69
0,1/2/2009,11561383.98
0,1/16/2009,11617194.5
0,1/30/2009,11673309.94
0,2/13/2009,11730209.43
0,2/27/2009,11790367.47
0,3/13/2009,11852788.13
0,3/27/2009,11912301.45
0,4/13/2009,11979074.81
0,4/27/2009,12044523.05
0,5/11/2009,12111264.96
0,5/25/2009,12180482.94
0,6/8/2009,12252007.23
0,6/22/2009,12320407.08
0,7/6/2009,12385853.75
0,7/20/2009,12452383.35
0,8/3/2009,12521697.3
0,8/17/2009,12589002.18
0,8/31/2009,12658459.62
0,9/14/2009,12728872.94
0,9/29/2009,12799772.79
0,10/14/2009,12872801.62
0,10/28/2009,12948556.4
0,11/11/2009,13028562.48
0,11/25/2009,13107536.43
0,12/9/2009,13188610.8
0,12/23/2009,13268308.2
0,1/6/2010,13346587.38
0,1/20/2010,13426032.18
0,2/3/2010,13504082.99
0,2/17/2010,13583248.57
0,3/3/2010,13661997.84
0,3/17/2010,13746280.22
0,3/31/2010,13831028.63
0,4/15/2010,13916706.49
0,4/29/2010,14004888.28
0,5/13/2010,14093349.53
0,5/27/2010,14181366.06
0,6/10/2010,14268769.54
0,6/24/2010,14355795.55
0,7/8/2010,14441851.48
0,7/22/2010,14527827.59
0,8/5/2010,14616588.78
0,8/19/2010,14706450.02
0,9/2/2010,14797440.49
0,9/16/2010,14886868.86
0,9/30/2010,14974982.58
0,10/14/2010,15063601.33
0,10/28/2010,15155070.9
0,11/11/2010,15253583.93
0,11/25/2010,15351686.04
0,12/9/2010,15447849.79
0,12/23/2010,15542052.47
0,1/6/2011,15635792.88
0,1/20/2011,15728630.84
0,2/3/2011,15820648.47
0,2/17/2011,15912216.75
0,3/3/2011,16002729.97
0,3/17/2011,16092927.83
0,3/31/2011,16181037.16
0,4/15/2011,16267436.42
0,4/29/2011,16351631.55
0,5/13/2011,16434929.32
0,5/27/2011,16520567
0,6/10/2011,16606110.74
0,6/24/2011,16692590.59
0,7/8/2011,16779402.85
0,7/22/2011,16864362.53
0,8/5/2011,16948172.31
0,8/19/2011,17035152.85
0,9/2/2011,17122434.65
0,9/16/2011,17211928.5
0,9/30/2011,17301726.79
0,10/14/2011,17392838.1
0,10/28/2011,17483784.22
0,11/11/2011,17571383.37
0,11/25/2011,17655550.38
0,12/9/2011,17739684.45
0,12/23/2011,17823193.55
0,1/6/2012,17906875.02
0,1/20/2012,17985418.66
0,2/3/2012,18064700.36
0,2/17/2012,18146153.84
0,3/2/2012,18224340.38
0,3/16/2012,18304426.81
0,3/30/2012,18382101.64
0,4/13/2012,18458464.49
0,4/27/2012,18533615.24
0,5/11/2012,18609694.05
0,5/25/2012,18684883.56
0,6/8/2012,18760012.87
0,6/22/2012,18836631.22
0,7/6/2012,18913366.36
0,7/20/2012,18989203.04
0,8/3/2012,19066047.19
0,8/17/2012,19142792.14
0,8/31/2012,19219220.09
0,9/14/2012,19298990.89
0,9/28/2012,19383339.48
0,10/12/2012,19468553.35
0,10/26/2012,19552252.75
0,11/9/2012,19636595.48
0,11/23/2012,19722238.18
0,12/7/2012,19806878.95
0,12/21/2012,19890551.25
0,1/4/2013,19975955.96
0,1/18/2013,20064219.2
0,2/1/2013,20152314.96
0,2/15/2013,20242059.5
0,3/1/2013,20328955.68
0,3/15/2013,20417883.68
0,4/1/2013,20505279.11
0,4/15/2013,20592936.13
0,4/29/2013,20684798.61
0,5/13/2013,20775893.77
0,5/27/2013,20868258.03
0,6/10/2013,20964345.89
0,6/24/2013,21057128.39
0,7/8/2013,21150175.22
0,7/22/2013,21243472.43
0,8/5/2013,21329167.63
0,8/19/2013,21414195.57
0,9/2/2013,21501798.66
0,9/16/2013,21594724
0,9/30/2013,21684870.35
0,10/14/2013,21775528.01
0,10/28/2013,21864160.75
0,11/11/2013,21955024.76
0,11/25/2013,22046347.37
0,12/9/2013,22134567.08
0,12/23/2013,22222333.19
0,1/6/2014,22311018.86
0,1/20/2014,22399814.37
0,2/3/2014,22487345.91
0,2/17/2014,22577279.12
0,3/3/2014,22670230.29
0,3/18/2014,22763438.01
0,4/1/2014,22856655.23
0,4/15/2014,22954452.1
0,4/29/2014,23054575.85
0,5/13/2014,23153550.5
0,5/27/2014,23254606.22
0,6/10/2014,23356590.02
0,6/24/2014,23460985.58
0,7/8/2014,23566445.56
0,7/22/2014,23670648.4
0,8/5/2014,23770533.14
0,8/19/2014,23868879.95
0,9/2/2014,23967182.24
0,9/16/2014,24065855.07
0,9/30/2014,24161271.17
0,10/14/2014,24253095.47
0,10/28/2014,24346912.7
0,11/11/2014,24444034.7
0,11/25/2014,24541451.33
0,12/9/2014,24639491.36
0,12/23/2014,24737953.87
0,1/6/2015,24835136.79
0,1/20/2015,24931619.92
0,2/3/2015,25030338.55
0,2/18/2015,25129461.82
0,3/4/2015,25226852.05
0,3/18/2015,25325744.18
0,4/1/2015,25424783.71
0,4/15/2015,25522000.47
0,4/29/2015,25615175.91
0,5/13/2015,25706819.8
0,5/27/2015,25798735.39
0,6/10/2015,25888174.81
0,6/24/2015,25978289.62
0,7/8/2015,26071368.74
0,7/22/2015,26163227.1
0,8/5/2015,26256566.44
0,8/19/2015,26353573.2
0,9/2/2015,26449618.11
0,9/16/2015,26545127.17
0,9/30/2015,26642261.25
0,10/14/2015,26740175.62
0,10/28/2015,26836011.13
0,11/11/2015,26932611.66
0,12/23/2015,27031056.01
0,1/6/2016,27130342.78
0,1/20/2016,27231112.99
0,2/3/2016,27332683.18
0,2/17/2016,27432843.69
0,3/2/2016,27532171.69
0,3/16/2016,27630071.03
0,3/30/2016,27727921.17
0,4/13/2016,27827575.14
0,4/27/2016,27927342.79
0,5/11/2016,28022258.23
0,5/25/2016,28118101.84
0,6/8/2016,28213751.93
0,6/22/2016,28310140.43
0,8/3/2016,28408482.26
0,8/17/2016,28507411.34
0,8/31/2016,28608475.02
0,9/14/2016,28708152.91
0,9/28/2016,28808459.38
0,11/9/2016,28906744.41
0,11/23/2016,29003243.05
0,12/7/2016,29096292.13
0,12/21/2016,29189641.74
0,1/4/2017,29281971.89
0,1/18/2017,29375129.81
0,2/1/2017,29469798.31
0,2/15/2017,29565862.85
