,Date,Entry_Price,Exit_Price,Exit_date,Ret,Shares,Signal,Ticker
202579,2007-01-02,151.9,151.95,2007-01-16,0.00032916392363380176,6208.24970599246,Buy,KTKBANK
81096,2007-01-02,748.0,770.8,2007-01-16,0.030481283422459926,1260.7394790645114,Buy,CENTURYTEX
173948,2007-01-02,48.65,56.45,2007-01-16,0.1603288797533402,19384.03145612034,Buy,INDUSINDBK
345634,2007-01-02,1130.0,1145.8,2007-01-16,0.013982300884955778,834.5425932214642,Buy,ULTRACEMCO
123087,2007-01-02,605.35,599.1,2007-01-16,-0.010324605600066095,1557.8312221694136,Buy,GLENMARK
228290,2007-01-02,311.85,310.9,2007-01-16,-0.0030463363796698895,3023.995928620345,Buy,NIITTECH
366837,2007-01-02,141.3,162.15,2007-01-16,0.14755838641188945,6673.978275585666,Buy,YESBANK
196130,2007-01-02,701.0,127.65,2007-01-16,-0.8179029957203994,1345.2683742371678,Buy,KPIT
45340,2007-01-02,208.15,201.9,2007-01-16,-0.030026423252462187,4530.545906030529,Buy,BANKINDIA
256995,2007-01-02,57.0,64.05,2007-01-16,0.12368421052631584,16544.440883162362,Buy,PTC
38542,2007-01-02,349.0,337.65,2007-01-16,0.0336146897675107,2702.1006600007295,Sell,APOLLOTYRE
101182,2007-01-02,147.5,153.95,2007-01-16,-0.04189671971419284,6393.444951459353,Sell,DABUR
129536,2007-01-02,151.05,153.0,2007-01-16,-0.012745098039215641,6243.185238929193,Sell,GODREJCP
291902,2007-01-02,192.5,194.7,2007-01-16,-0.011299435028248483,4898.873404364959,Sell,SRF
363986,2007-01-02,353.25,350.6,2007-01-16,0.007558471192241845,2669.5913102342665,Sell,WOCKPHARMA
340467,2007-01-02,85.05,80.5,2007-01-16,0.05652173913043468,11087.985071607933,Sell,TVSMOTOR
207270,2007-01-02,162.35,166.6,2007-01-16,-0.025510204081632626,5808.6426260563885,Sell,LICHSGFIN
246848,2007-01-02,50.65,54.0,2007-01-16,-0.06203703703703711,18618.62053978785,Sell,PETRONET
18201,2007-01-02,89.15,90.9,2007-01-16,-0.01925192519251928,10578.04969534778,Sell,ALBK
118875,2007-01-02,37.15,40.9,2007-01-16,-0.09168704156479213,25384.47187995302,Sell,EXIDEIND
161334,2007-01-16,25.05,25.6,2007-01-31,0.021956087824351433,39395.1502751817,Buy,IFCI
196140,2007-01-16,127.65,153.3,2007-01-31,0.20094007050528795,7730.89317973601,Buy,KPIT
173958,2007-01-16,56.45,53.25,2007-01-31,-0.05668733392382641,17481.81602113909,Buy,INDUSINDBK
50040,2007-01-16,1180.15,1091.65,2007-01-31,-0.07499046731347714,836.2060029600489,Buy,BEML
278035,2007-01-16,97.1,108.15,2007-01-31,0.11380020597322371,10163.218479848627,Buy,SAIL
257005,2007-01-16,64.05,64.0,2007-01-31,-0.0007806401249024209,15407.470950715093,Buy,PTC
287233,2007-01-16,97.1,98.0,2007-01-31,0.009268795056642798,10163.218479848627,Buy,SOUTHBANK
151086,2007-01-16,93.5,101.55,2007-01-31,0.08609625668449206,10554.52956570376,Buy,IDBI
202589,2007-01-16,151.95,171.85,2007-01-31,0.13096413293846654,6494.560805484052,Buy,KTKBANK
300258,2007-01-16,382.6,360.1,2007-01-31,-0.058808154730789375,2579.321783568483,Buy,STAR
129546,2007-01-16,153.0,154.6,2007-01-31,-0.010349288486416475,6449.990290152298,Sell,GODREJCP
164576,2007-01-16,118.75,118.4,2007-01-31,0.002956081081081141,8310.303279101488,Sell,IGL
111388,2007-01-16,808.8,743.05,2007-01-31,0.088486642890788,1220.1391127513623,Sell,DRREDDY
355102,2007-01-16,108.2,103.35,2007-01-31,0.0469279148524433,9120.596251324414,Sell,VOLTAS
18211,2007-01-16,90.9,90.4,2007-01-31,0.005530973451327359,10856.419300256344,Sell,ALBK
233513,2007-01-16,137.85,142.05,2007-01-31,-0.029567053854276826,7158.85755816686,Sell,NTPC
259615,2007-01-16,430.45,461.25,2007-01-31,-0.06677506775067754,2292.597315352077,Sell,RCOM
311851,2007-01-16,220.05,226.95,2007-01-31,-0.030403172504956943,4484.655825463766,Sell,TATACHEM
38552,2007-01-16,337.65,336.7,2007-01-31,0.0028215028215028415,2922.696621925964,Sell,APOLLOTYRE
340477,2007-01-16,80.5,74.9,2007-01-31,0.07476635514018692,12258.98775643853,Sell,TVSMOTOR
161343,2007-01-31,25.6,28.85,2007-02-14,0.126953125,41248.70559120969,Buy,IFCI
196149,2007-01-31,153.3,136.8,2007-02-14,-0.10763209393346373,6888.237854761696,Buy,KPIT
228309,2007-01-31,398.45,428.4,2007-02-14,0.07516626929351244,2650.186631032672,Buy,NIITTECH
156362,2007-01-31,103.1,95.25,2007-02-14,-0.07613967022308432,10242.161621095715,Buy,IDFC
151095,2007-01-31,101.55,91.8,2007-02-14,-0.09601181683899562,10398.492005268026,Buy,IDBI
278044,2007-01-31,108.15,108.45,2007-02-14,0.00277392510402219,9763.909968885511,Buy,SAIL
180095,2007-01-31,763.35,718.35,2007-02-14,-0.05895067793279618,1383.332499030547,Buy,JETAIRWAYS
173967,2007-01-31,53.25,49.85,2007-02-14,-0.06384976525821595,19830.363626947757,Buy,INDUSINDBK
184407,2007-01-31,2335.2,2330.25,2007-02-14,-0.002119732785200279,452.19547068129845,Buy,JINDALSTEL
101201,2007-01-31,98.9,101.05,2007-02-14,0.021739130434782483,10677.116917441537,Buy,DABUR
187533,2007-01-31,698.9,625.05,2007-02-14,0.11815054795616353,1510.8983590427358,Sell,JPASSOCIAT
345653,2007-01-31,995.15,962.0,2007-02-14,0.034459459459459385,1061.1132624578888,Sell,ULTRACEMCO
73519,2007-01-31,241.25,209.95,2007-02-14,0.14908311502738747,4377.064717657899,Sell,CANBK
217308,2007-01-31,90.75,69.95,2007-02-14,0.29735525375268046,11635.99849184538,Sell,MCLEODRUSS
54870,2007-01-31,334.5,331.55,2007-02-14,0.008897602171618058,3156.8516087741946,Sell,BHARATFORG
251549,2007-01-31,119.5,115.45,2007-02-14,0.03508012126461679,8836.542787740318,Sell,PIDILITIND
355111,2007-01-31,103.35,95.05,2007-02-14,0.08732246186217774,10217.386193855522,Sell,VOLTAS
111397,2007-01-31,743.05,719.9,2007-02-14,0.032157244061675305,1421.1249083304867,Sell,DRREDDY
349211,2007-01-31,111.15,105.6,2007-02-14,0.05255681818181834,9500.376636391975,Sell,UNIONBANK
340486,2007-01-31,74.9,70.25,2007-02-14,0.06619217081850537,14098.355983110387,Sell,TVSMOTOR
228319,2007-02-14,428.4,396.55,2007-02-28,-0.07434640522875813,2536.8202614237853,Buy,NIITTECH
161353,2007-02-14,28.85,27.55,2007-02-28,-0.045060658578856216,37669.80242613343,Buy,IFCI
156372,2007-02-14,95.25,91.55,2007-02-28,-0.03884514435695541,11409.69868760052,Buy,IDFC
196159,2007-02-14,136.8,139.5,2007-02-28,0.019736842105263053,7944.2529239323785,Buy,KPIT
60672,2007-02-14,414.2,457.35,2007-02-28,0.10417672621921792,2623.7899565281255,Buy,BIOCON
151105,2007-02-14,91.8,80.7,2007-02-28,-0.12091503267973847,11838.494553310997,Buy,IDBI
101211,2007-02-14,101.05,97.7,2007-02-28,-0.03315190499752596,10754.81246901484,Buy,DABUR
202608,2007-02-14,179.45,175.5,2007-02-28,-0.022011702424073465,6056.137085505431,Buy,KTKBANK
132432,2007-02-14,101.35,94.45,2007-02-28,-0.06808090774543651,10722.977799644297,Buy,GRANULES
278054,2007-02-14,108.45,108.75,2007-02-28,0.0027662517289073207,10020.966343881508,Buy,SAIL
164595,2007-02-14,113.25,107.25,2007-02-28,0.05594405594405605,9596.236644538185,Sell,IGL
328182,2007-02-14,1260.75,1193.4,2007-02-28,0.05643539467068881,862.0057901994444,Sell,TCS
187543,2007-02-14,625.05,545.75,2007-02-28,0.14530462666055888,1738.6989840715935,Sell,JPASSOCIAT
45369,2007-02-14,169.1,163.75,2007-02-28,0.032671755725190765,6426.811354192487,Sell,BANKINDIA
91829,2007-02-14,1900.05,1894.45,2007-02-28,0.002956003061574508,571.9711586505352,Sell,CONCOR
340496,2007-02-14,70.25,61.25,2007-02-28,0.14693877551020407,15470.089679629174,Sell,TVSMOTOR
111407,2007-02-14,719.9,676.9,2007-02-28,0.06352489289407592,1509.6177246755792,Sell,DRREDDY
335377,2007-02-14,69.45,67.95,2007-02-28,0.02207505518763786,15648.29085664434,Sell,TORNTPOWER
73529,2007-02-14,209.95,208.45,2007-02-28,0.007195970256656192,5176.345796589424,Sell,CANBK
217318,2007-02-14,69.95,65.45,2007-02-28,0.06875477463712754,15536.437455238734,Sell,MCLEODRUSS
161362,2007-02-28,27.55,24.95,2007-03-14,-0.09437386569872963,41522.42654765004,Buy,IFCI
228328,2007-02-28,396.55,428.95,2007-03-14,0.08170470306392641,2884.737993664755,Buy,NIITTECH
60681,2007-02-28,457.35,465.15,2007-03-14,0.017054772056411815,2501.2416123051457,Buy,BIOCON
118913,2007-02-28,46.55,43.8,2007-03-14,-0.05907626208378092,24574.497344527575,Buy,EXIDEIND
264334,2007-02-28,623.45,605.9,2007-03-14,-0.028149811532600988,1834.859012571591,Buy,RELCAPITAL
173986,2007-02-28,44.1,39.05,2007-03-14,-0.11451247165532885,25939.747197001325,Buy,INDUSINDBK
318765,2007-02-28,274.2,279.9,2007-03-14,0.020787746170678245,4171.928706738726,Buy,TATAELXSI
123125,2007-02-28,535.25,611.7,2007-03-14,0.14283045305931807,2137.212239865032,Buy,GLENMARK
33889,2007-02-28,497.25,485.25,2007-03-14,-0.02413273001508298,2300.538665435412,Buy,APOLLOHOSP
50068,2007-02-28,1104.9,1018.5,2007-03-14,-0.07819712191148531,1035.3360950201452,Buy,BEML
73538,2007-02-28,208.45,190.3,2007-03-14,0.09537572254335247,5487.852489267251,Sell,CANBK
29201,2007-02-28,77.25,76.6,2007-03-14,0.008485639686684143,14808.321700812408,Sell,ANDHRABANK
111416,2007-02-28,676.9,648.45,2007-03-14,0.04387385303415825,1689.9731886360742,Sell,DRREDDY
207308,2007-02-28,144.55,138.15,2007-03-14,0.04632645674990954,7913.821178746167,Sell,LICHSGFIN
18239,2007-02-28,76.05,71.7,2007-03-14,0.060669456066945626,15041.983581693077,Sell,ALBK
91838,2007-02-28,1894.45,1756.4,2007-03-14,0.07859826918697332,603.8390305301056,Sell,CONCOR
180114,2007-02-28,597.7,563.95,2007-03-14,0.05984573100452173,1913.9080665681086,Sell,JETAIRWAYS
246886,2007-02-28,45.3,43.65,2007-03-14,0.03780068728522323,25252.60157588871,Sell,PETRONET
164604,2007-02-28,107.25,100.75,2007-03-14,0.06451612903225801,10666.133812473272,Sell,IGL
217327,2007-02-28,65.45,53.2,2007-03-14,0.23026315789473673,17478.1184322041,Sell,MCLEODRUSS
228338,2007-03-14,428.95,432.9,2007-03-28,0.009208532462990915,2694.8839959656616,Buy,NIITTECH
161372,2007-03-14,24.95,32.3,2007-03-28,0.2945891783567134,46331.48256791465,Buy,IFCI
81144,2007-03-14,530.75,535.8,2007-03-28,0.009514837494112083,2177.9943289109196,Buy,CENTURYTEX
123135,2007-03-14,611.7,593.9,2007-03-28,-0.029099231649501456,1889.7670264336612,Buy,GLENMARK
196178,2007-03-14,126.9,129.95,2007-03-28,0.02403467297084294,9109.30252221805,Buy,KPIT
156391,2007-03-14,83.3,82.55,2007-03-28,-0.009003601440576214,13877.196759537463,Buy,IDFC
278073,2007-03-14,100.8,110.0,2007-03-28,0.09126984126984139,11467.961211006654,Buy,SAIL
187562,2007-03-14,558.15,529.55,2007-03-28,-0.051240705903430994,2071.074962052263,Buy,JPASSOCIAT
151124,2007-03-14,74.6,77.15,2007-03-28,0.034182305630027,15495.582976802556,Buy,IDBI
318775,2007-03-14,279.9,278.95,2007-03-28,-0.0033940693104679287,4129.941014896287,Buy,TATAELXSI
29211,2007-03-14,76.6,77.0,2007-03-28,-0.0051948051948053076,15090.998564875596,Sell,ANDHRABANK
164614,2007-03-14,100.75,99.75,2007-03-28,0.010025062656641603,11473.652506893008,Sell,IGL
296464,2007-03-14,122.95,120.05,2007-03-28,0.024156601416076784,9401.955998938354,Sell,SRTRANSFIN
4977,2007-03-14,746.95,734.7,2007-03-28,0.01667347216550974,1547.5875092971023,Sell,ACC
202627,2007-03-14,167.7,169.7,2007-03-28,-0.011785503830288757,6893.085808404715,Sell,KTKBANK
184436,2007-03-14,2101.65,2369.05,2007-03-28,-0.11287224836959964,550.0299717219664,Sell,JINDALSTEL
18249,2007-03-14,71.7,73.6,2007-03-28,-0.025815217391304213,16122.32203723111,Sell,ALBK
286,2007-03-14,1022.8,1048.95,2007-03-28,-0.024929691596358383,1130.201887044848,Sell,ABIRLANUVO
217337,2007-03-14,53.2,55.3,2007-03-28,-0.03797468354430367,21728.768610328392,Sell,MCLEODRUSS
311889,2007-03-14,190.45,204.8,2007-03-28,-0.07006835937500011,6069.679653817121,Sell,TATACHEM
161381,2007-03-28,32.3,36.75,2007-04-11,0.13777089783281737,35734.63834873471,Buy,IFCI
228347,2007-03-28,432.9,426.5,2007-04-11,-0.014784014784014698,2666.27123738538,Buy,NIITTECH
123144,2007-03-28,593.9,614.3,2007-04-11,0.034349217039905566,1943.4733434317748,Buy,GLENMARK
366894,2007-03-28,142.0,150.45,2007-04-11,0.0595070422535211,8128.371962423457,Buy,YESBANK
81153,2007-03-28,535.8,528.75,2007-04-11,-0.013157894736842035,2154.215786980461,Buy,CENTURYTEX
45397,2007-03-28,171.75,168.25,2007-04-11,-0.020378457059679778,6720.400690911971,Buy,BANKINDIA
